Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
News & Views,Pressure and particle motion enable fish to sense the direction of sound,"Scientists have long sought to explain how fish can sense the direction of sound, given the challenges that hearing underwater poses. An experimental study testing a variety of models now provides some answers.",Catherine E. Carr,19-Jun-24,pressure and particle motion enable fish to sense the direction of sound,"['pressure', 'and', 'particle', 'motion', 'enable', 'fish', 'to', 'sense', 'the', 'direction', 'of', 'sound']","['pressure', 'particle', 'motion', 'enable', 'fish', 'sense', 'direction', 'sound']","['pressur', 'particl', 'motion', 'enabl', 'fish', 'sens', 'direct', 'sound']","['pressure', 'particle', 'motion', 'enable', 'fish', 'sense', 'direction', 'sound']"
Outlook,Could rats and dogs detect disease better than the finest lab equipment?,The animals’ keen sense of smell could improve the detection of illnesses such as cancer and tuberculosis.,Sarah DeWeerdt,19-Jun-24,could rats and dogs detect disease better than the finest lab equipment,"['could', 'rats', 'and', 'dogs', 'detect', 'disease', 'better', 'than', 'the', 'finest', 'lab', 'equipment']","['could', 'rats', 'dogs', 'detect', 'disease', 'better', 'finest', 'lab', 'equipment']","['could', 'rat', 'dog', 'detect', 'diseas', 'better', 'finest', 'lab', 'equip']","['could', 'rat', 'dog', 'detect', 'disease', 'better', 'finest', 'lab', 'equipment']"
News & Views,‘Fighting fire with fire’ — using LLMs to combat LLM hallucinations,"The number of errors produced by an LLM can be reduced by grouping its outputs into semantically similar clusters. Remarkably, this task can be performed by a second LLM, and the method’s efficacy can be evaluated by a third.",Karin Verspoor,19-Jun-24,fighting fire with fire  using llms to combat llm hallucinations,"['fighting', 'fire', 'with', 'fire', 'using', 'llms', 'to', 'combat', 'llm', 'hallucinations']","['fighting', 'fire', 'fire', 'using', 'llms', 'combat', 'llm', 'hallucinations']","['fight', 'fire', 'fire', 'use', 'llm', 'combat', 'llm', 'hallucin']","['fighting', 'fire', 'fire', 'using', 'llm', 'combat', 'llm', 'hallucination']"
Nature Podcast,How do fish know where a sound comes from? Scientists have an answer,A dual hearing system helps fish pinpoint a sound’s source — plus uncovering the secrets of the sensory structures that respond to touch during sex.,"Nick Petrić Howe, Benjamin Thompson",19-Jun-24,how do fish know where a sound comes from scientists have an answer,"['how', 'do', 'fish', 'know', 'where', 'a', 'sound', 'comes', 'from', 'scientists', 'have', 'an', 'answer']","['fish', 'know', 'sound', 'comes', 'scientists', 'answer']","['fish', 'know', 'sound', 'come', 'scientist', 'answer']","['fish', 'know', 'sound', 'come', 'scientist', 'answer']"
Publisher Correction,Publisher Correction: Sex differences orchestrated by androgens at single-cell resolution,,"Fei Li, Xudong Xing, Dong Gao",18-Jun-24,publisher correction sex differences orchestrated by androgens at singlecell resolution,"['publisher', 'correction', 'sex', 'differences', 'orchestrated', 'by', 'androgens', 'at', 'singlecell', 'resolution']","['publisher', 'correction', 'sex', 'differences', 'orchestrated', 'androgens', 'singlecell', 'resolution']","['publish', 'correct', 'sex', 'differ', 'orchestr', 'androgen', 'singlecel', 'resolut']","['publisher', 'correction', 'sex', 'difference', 'orchestrated', 'androgen', 'singlecell', 'resolution']"
Author Correction,Author Correction: Discovery of SARS-CoV-2 antiviral drugs through large-scale compound repurposing,,"Laura Riva, Shuofeng Yuan, Sumit K. Chanda",18-Jun-24,author correction discovery of sarscov2 antiviral drugs through largescale compound repurposing,"['author', 'correction', 'discovery', 'of', 'sarscov2', 'antiviral', 'drugs', 'through', 'largescale', 'compound', 'repurposing']","['author', 'correction', 'discovery', 'sarscov2', 'antiviral', 'drugs', 'largescale', 'compound', 'repurposing']","['author', 'correct', 'discoveri', 'sarscov2', 'antivir', 'drug', 'largescal', 'compound', 'repurpos']","['author', 'correction', 'discovery', 'sarscov2', 'antiviral', 'drug', 'largescale', 'compound', 'repurposing']"
Author Correction,Author Correction: Capturing electron-driven chiral dynamics in UV-excited molecules,,"Vincent Wanie, Etienne Bloch, Francesca Calegari",18-Jun-24,author correction capturing electrondriven chiral dynamics in uvexcited molecules,"['author', 'correction', 'capturing', 'electrondriven', 'chiral', 'dynamics', 'in', 'uvexcited', 'molecules']","['author', 'correction', 'capturing', 'electrondriven', 'chiral', 'dynamics', 'uvexcited', 'molecules']","['author', 'correct', 'captur', 'electrondriven', 'chiral', 'dynam', 'uvexcit', 'molecul']","['author', 'correction', 'capturing', 'electrondriven', 'chiral', 'dynamic', 'uvexcited', 'molecule']"
Correspondence,Earth-surface monitoring is at risk — more imaging tools are urgently needed,,"Etienne Berthier, Jeffrey S. Kargel, Michael Zemp",18-Jun-24,earthsurface monitoring is at risk  more imaging tools are urgently needed,"['earthsurface', 'monitoring', 'is', 'at', 'risk', 'more', 'imaging', 'tools', 'are', 'urgently', 'needed']","['earthsurface', 'monitoring', 'risk', 'imaging', 'tools', 'urgently', 'needed']","['earthsurfac', 'monitor', 'risk', 'imag', 'tool', 'urgent', 'need']","['earthsurface', 'monitoring', 'risk', 'imaging', 'tool', 'urgently', 'needed']"
Correspondence,I was prevented from attending my own conference: visa processes need urgent reform,,Felix Moronta-Barrios,18-Jun-24,i was prevented from attending my own conference visa processes need urgent reform,"['i', 'was', 'prevented', 'from', 'attending', 'my', 'own', 'conference', 'visa', 'processes', 'need', 'urgent', 'reform']","['prevented', 'attending', 'conference', 'visa', 'processes', 'need', 'urgent', 'reform']","['prevent', 'attend', 'confer', 'visa', 'process', 'need', 'urgent', 'reform']","['prevented', 'attending', 'conference', 'visa', 'process', 'need', 'urgent', 'reform']"
Correspondence,Boycotting academics in Israel is counterproductive,,"Simone Shamay-Tsoory, Mouna Maroun, Shir Atzil",18-Jun-24,boycotting academics in israel is counterproductive,"['boycotting', 'academics', 'in', 'israel', 'is', 'counterproductive']","['boycotting', 'academics', 'israel', 'counterproductive']","['boycot', 'academ', 'israel', 'counterproduct']","['boycotting', 'academic', 'israel', 'counterproductive']"
News & Views,James Clerk Maxwell’s ode to bubble blowing,"Curious volcanic activity confounds tourists near Naples, and Maxwell reviews a textbook on bubbles, in the weekly dip intoNature’s archive.","N, /, A",18-Jun-24,james clerk maxwells ode to bubble blowing,"['james', 'clerk', 'maxwells', 'ode', 'to', 'bubble', 'blowing']","['james', 'clerk', 'maxwells', 'ode', 'bubble', 'blowing']","['jame', 'clerk', 'maxwel', 'ode', 'bubbl', 'blow']","['james', 'clerk', 'maxwell', 'ode', 'bubble', 'blowing']"
Correspondence,"The global refugee crisis is above all a human tragedy — but it affects wildlife, too",,"Andrew D. Walde, Gift S. Demaya, Luca Luiselli",18-Jun-24,the global refugee crisis is above all a human tragedy  but it affects wildlife too,"['the', 'global', 'refugee', 'crisis', 'is', 'above', 'all', 'a', 'human', 'tragedy', 'but', 'it', 'affects', 'wildlife', 'too']","['global', 'refugee', 'crisis', 'human', 'tragedy', 'affects', 'wildlife']","['global', 'refuge', 'crisi', 'human', 'tragedi', 'affect', 'wildlif']","['global', 'refugee', 'crisis', 'human', 'tragedy', 'affect', 'wildlife']"
Author Correction,Author Correction: TDP-43 loss and ALS-risk SNPs drive mis-splicing and depletion of UNC13A,,"Anna-Leigh Brown, Oscar G. Wilkins, Pietro Fratta",18-Jun-24,author correction tdp43 loss and alsrisk snps drive missplicing and depletion of unc13a,"['author', 'correction', 'tdp43', 'loss', 'and', 'alsrisk', 'snps', 'drive', 'missplicing', 'and', 'depletion', 'of', 'unc13a']","['author', 'correction', 'tdp43', 'loss', 'alsrisk', 'snps', 'drive', 'missplicing', 'depletion', 'unc13a']","['author', 'correct', 'tdp43', 'loss', 'alsrisk', 'snp', 'drive', 'missplic', 'deplet', 'unc13a']","['author', 'correction', 'tdp43', 'loss', 'alsrisk', 'snp', 'drive', 'missplicing', 'depletion', 'unc13a']"
Nature Briefing,AI & robotics briefing: How AI referees are shaking up football,"Video assistant referees will support human referees at this year’s UEFA Euro football tournament. Plus, algorithm reveals that elephants have names for each other and how ‘bot’ became an insult.",Katrina Krämer,18-Jun-24,ai  robotics briefing how ai referees are shaking up football,"['ai', 'robotics', 'briefing', 'how', 'ai', 'referees', 'are', 'shaking', 'up', 'football']","['ai', 'robotics', 'briefing', 'ai', 'referees', 'shaking', 'football']","['ai', 'robot', 'brief', 'ai', 'refere', 'shake', 'footbal']","['ai', 'robotics', 'briefing', 'ai', 'referee', 'shaking', 'football']"
News Feature,Misinformation might sway elections — but not in the way that you think,"Rampant deepfakes and false news are often blamed for swaying votes. Research suggests it’s hard to change people’s political opinions, but easier to nudge their behaviour.",David Adam,18-Jun-24,misinformation might sway elections  but not in the way that you think,"['misinformation', 'might', 'sway', 'elections', 'but', 'not', 'in', 'the', 'way', 'that', 'you', 'think']","['misinformation', 'might', 'sway', 'elections', 'way', 'think']","['misinform', 'might', 'sway', 'elect', 'way', 'think']","['misinformation', 'might', 'sway', 'election', 'way', 'think']"
Comment,Why museums should repatriate fossils,The legacy of a palaeontology expedition into Native American lands 150 years ago should prompt a rethink of where and how fossil collections are curated.,"Craig Howe, Lukas Rieppel",18-Jun-24,why museums should repatriate fossils,"['why', 'museums', 'should', 'repatriate', 'fossils']","['museums', 'repatriate', 'fossils']","['museum', 'repatri', 'fossil']","['museum', 'repatriate', 'fossil']"
News,How climate change is hitting Europe: three graphics reveal health impacts,A growing body of research reveals the deaths and diseases linked to rising temperatures across the continent.,Carissa Wong,18-Jun-24,how climate change is hitting europe three graphics reveal health impacts,"['how', 'climate', 'change', 'is', 'hitting', 'europe', 'three', 'graphics', 'reveal', 'health', 'impacts']","['climate', 'change', 'hitting', 'europe', 'three', 'graphics', 'reveal', 'health', 'impacts']","['climat', 'chang', 'hit', 'europ', 'three', 'graphic', 'reveal', 'health', 'impact']","['climate', 'change', 'hitting', 'europe', 'three', 'graphic', 'reveal', 'health', 'impact']"
World View,We can make the UK a science superpower — with a radical political manifesto,"As the election campaign in the United Kingdom marches on, politicians are hardly discussing the country’s global standing in science. Here’s why that needs to change.",Paul Nurse,18-Jun-24,we can make the uk a science superpower  with a radical political manifesto,"['we', 'can', 'make', 'the', 'uk', 'a', 'science', 'superpower', 'with', 'a', 'radical', 'political', 'manifesto']","['make', 'uk', 'science', 'superpower', 'radical', 'political', 'manifesto']","['make', 'uk', 'scienc', 'superpow', 'radic', 'polit', 'manifesto']","['make', 'uk', 'science', 'superpower', 'radical', 'political', 'manifesto']"
Nature Briefing,Daily briefing: Deaths and diseases linked to rising temperatures across Europe,"Global warming is costing lives, deepening health inequality and driving the spread of diseases across Europe. Plus, genes from century-old wheat varieties could improve modern crops and misinformation might sway elections — but not in the way that you think.",Flora Graham,18-Jun-24,daily briefing deaths and diseases linked to rising temperatures across europe,"['daily', 'briefing', 'deaths', 'and', 'diseases', 'linked', 'to', 'rising', 'temperatures', 'across', 'europe']","['daily', 'briefing', 'deaths', 'diseases', 'linked', 'rising', 'temperatures', 'across', 'europe']","['daili', 'brief', 'death', 'diseas', 'link', 'rise', 'temperatur', 'across', 'europ']","['daily', 'briefing', 'death', 'disease', 'linked', 'rising', 'temperature', 'across', 'europe']"
Research Briefing,Lack of an immune receptor might prevent cancers associated with Epstein–Barr virus,"A molecule called IL-27 is involved in several immune responses. Congenital alterations in the gene encoding a subunit of the IL-27 receptor result in susceptibility to severe infections with the Epstein–Barr virus. However, IL-27 is also required for the proliferation of virus-infected B cells that become cancerous, so deficiency in the receptor might have a protective role against cancers associated with Epstein–Barr virus.","N, /, A",18-Jun-24,lack of an immune receptor might prevent cancers associated with epsteinbarr virus,"['lack', 'of', 'an', 'immune', 'receptor', 'might', 'prevent', 'cancers', 'associated', 'with', 'epsteinbarr', 'virus']","['lack', 'immune', 'receptor', 'might', 'prevent', 'cancers', 'associated', 'epsteinbarr', 'virus']","['lack', 'immun', 'receptor', 'might', 'prevent', 'cancer', 'associ', 'epsteinbarr', 'viru']","['lack', 'immune', 'receptor', 'might', 'prevent', 'cancer', 'associated', 'epsteinbarr', 'virus']"
Research Briefing,Built-up sleep pressure drives the loss of neuronal connections during slumber,"Imaging of all synaptic connections of individual neurons in larval zebrafish across several days and nights indicates that sleep is necessary, but not sufficient, for the sleep-associated loss of synapses. Both the need to sleep accumulated during wake — known as sleep pressure — and the sleep state itself are required for synapse removal.","N, /, A",18-Jun-24,builtup sleep pressure drives the loss of neuronal connections during slumber,"['builtup', 'sleep', 'pressure', 'drives', 'the', 'loss', 'of', 'neuronal', 'connections', 'during', 'slumber']","['builtup', 'sleep', 'pressure', 'drives', 'loss', 'neuronal', 'connections', 'slumber']","['builtup', 'sleep', 'pressur', 'drive', 'loss', 'neuron', 'connect', 'slumber']","['builtup', 'sleep', 'pressure', 'drive', 'loss', 'neuronal', 'connection', 'slumber']"
Retraction,Retraction Note: Pluripotency of mesenchymal stem cells derived from adult marrow,,"Yuehua Jiang, Balkrishna N. Jahagirdar, Catherine M. Verfaillie",17-Jun-24,retraction note pluripotency of mesenchymal stem cells derived from adult marrow,"['retraction', 'note', 'pluripotency', 'of', 'mesenchymal', 'stem', 'cells', 'derived', 'from', 'adult', 'marrow']","['retraction', 'note', 'pluripotency', 'mesenchymal', 'stem', 'cells', 'derived', 'adult', 'marrow']","['retract', 'note', 'pluripot', 'mesenchym', 'stem', 'cell', 'deriv', 'adult', 'marrow']","['retraction', 'note', 'pluripotency', 'mesenchymal', 'stem', 'cell', 'derived', 'adult', 'marrow']"
Where I Work,How I’ve helped to discover nearly 40 species in the Amazon,Rodolfo Salas-Gismondi conducts palaeontology on a riverbank.,Virginia Gewin,17-Jun-24,how i have helped to discover nearly 40 species in the amazon,"['how', 'i', 'have', 'helped', 'to', 'discover', 'nearly', '40', 'species', 'in', 'the', 'amazon']","['helped', 'discover', 'nearly', '40', 'species', 'amazon']","['help', 'discov', 'nearli', '40', 'speci', 'amazon']","['helped', 'discover', 'nearly', '40', 'specie', 'amazon']"
Article,Harnessing landrace diversity empowers wheat breeding,"Genomic and phenomic screens of 827 wheat landraces from the A. E. Watkins collection provide insight into the wheat population genetic background, unlocking many agronomic traits and revealing haplotypes that could potentially be used to improve modern wheat cultivars.","Shifeng Cheng, Cong Feng, Simon Griffiths",17-Jun-24,harnessing landrace diversity empowers wheat breeding,"['harnessing', 'landrace', 'diversity', 'empowers', 'wheat', 'breeding']","['harnessing', 'landrace', 'diversity', 'empowers', 'wheat', 'breeding']","['har', 'landrac', 'divers', 'empow', 'wheat', 'breed']","['harnessing', 'landrace', 'diversity', 'empowers', 'wheat', 'breeding']"
Article,Catalytic glycosylation for minimally protected donors and acceptors,"A glycosylation platform is demonstrated that enables selective coupling between a wide range of unprotected or minimally protected donor and acceptor sugars, producing 1,2-cis-O-glycosides in a catalyst-controlled, site-selective manner.","Qiu-Di Dang, Yi-Hui Deng, Dawen Niu",17-Jun-24,catalytic glycosylation for minimally protected donors and acceptors,"['catalytic', 'glycosylation', 'for', 'minimally', 'protected', 'donors', 'and', 'acceptors']","['catalytic', 'glycosylation', 'minimally', 'protected', 'donors', 'acceptors']","['catalyt', 'glycosyl', 'minim', 'protect', 'donor', 'acceptor']","['catalytic', 'glycosylation', 'minimally', 'protected', 'donor', 'acceptor']"
Article,Hydroamination of alkenes with dinitrogen and titanium polyhydrides,A trititanium hydride framework is used to achieve direct hydroamination of simple feedstock hydrocarbons with inert nitrogen gas to obtain the corresponding alkyl amines.,"Takanori Shima, Qingde Zhuo, Zhaomin Hou",17-Jun-24,hydroamination of alkenes with dinitrogen and titanium polyhydrides,"['hydroamination', 'of', 'alkenes', 'with', 'dinitrogen', 'and', 'titanium', 'polyhydrides']","['hydroamination', 'alkenes', 'dinitrogen', 'titanium', 'polyhydrides']","['hydroamin', 'alken', 'dinitrogen', 'titanium', 'polyhydrid']","['hydroamination', 'alkene', 'dinitrogen', 'titanium', 'polyhydrides']"
News,China could start building world’s biggest particle collider in 2027,"The US$5 billion facility would be cheaper, bigger and faster to build than a similar one proposed by European scientists.",Gemma Conroy,17-Jun-24,china could start building worlds biggest particle collider in 2027,"['china', 'could', 'start', 'building', 'worlds', 'biggest', 'particle', 'collider', 'in', '2027']","['china', 'could', 'start', 'building', 'worlds', 'biggest', 'particle', 'collider', '2027']","['china', 'could', 'start', 'build', 'world', 'biggest', 'particl', 'collid', '2027']","['china', 'could', 'start', 'building', 'world', 'biggest', 'particle', 'collider', '2027']"
Technology Feature,Push and pull: how to measure the forces that sculpt embryos,A steadily growing toolbox is giving researchers the ability to monitor and measure the physical forces that shape embryonic development.,Michael Eisenstein,17-Jun-24,push and pull how to measure the forces that sculpt embryos,"['push', 'and', 'pull', 'how', 'to', 'measure', 'the', 'forces', 'that', 'sculpt', 'embryos']","['push', 'pull', 'measure', 'forces', 'sculpt', 'embryos']","['push', 'pull', 'measur', 'forc', 'sculpt', 'embryo']","['push', 'pull', 'measure', 'force', 'sculpt', 'embryo']"
Career Column,How researchers and their managers can build an actionable career-development plan,Tomasz Głowacki was new to industry when his manager helped him to craft an action plan that captured his goals and the skills needed to achieve them.,Tomasz Głowacki,17-Jun-24,how researchers and their managers can build an actionable careerdevelopment plan,"['how', 'researchers', 'and', 'their', 'managers', 'can', 'build', 'an', 'actionable', 'careerdevelopment', 'plan']","['researchers', 'managers', 'build', 'actionable', 'careerdevelopment', 'plan']","['research', 'manag', 'build', 'action', 'careerdevelop', 'plan']","['researcher', 'manager', 'build', 'actionable', 'careerdevelopment', 'plan']"
Nature Briefing,Daily briefing: Millions of mosquitos deployed to save Hawaii’s birds,"Ambitious project aims to slow the spread of avian malaria that is wiping out native birds. Plus, how the ‘mind’s eye’ might call up visual memories from the brain and tips to better manage your lab money.",Flora Graham,17-Jun-24,daily briefing millions of mosquitos deployed to save hawaiis birds,"['daily', 'briefing', 'millions', 'of', 'mosquitos', 'deployed', 'to', 'save', 'hawaiis', 'birds']","['daily', 'briefing', 'millions', 'mosquitos', 'deployed', 'save', 'hawaiis', 'birds']","['daili', 'brief', 'million', 'mosquito', 'deploy', 'save', 'hawaii', 'bird']","['daily', 'briefing', 'million', 'mosquito', 'deployed', 'save', 'hawaii', 'bird']"
Editorial,The Sustainable Development Goals: can they be made smarter?,Accounting for factors such as artificial intelligence in a more ambitious set of goals has a lot of merit — as long as urgency is not lost on the existing ones.,"N, /, A",17-Jun-24,the sustainable development goals can they be made smarter,"['the', 'sustainable', 'development', 'goals', 'can', 'they', 'be', 'made', 'smarter']","['sustainable', 'development', 'goals', 'made', 'smarter']","['sustain', 'develop', 'goal', 'made', 'smarter']","['sustainable', 'development', 'goal', 'made', 'smarter']"
Career Feature,Tiny beauty: how I make scientific art from behind the microscope,Steve Gschmeissner images tiny creatures and viruses to show the public an unseen world.,Josie Glausiusz,17-Jun-24,tiny beauty how i make scientific art from behind the microscope,"['tiny', 'beauty', 'how', 'i', 'make', 'scientific', 'art', 'from', 'behind', 'the', 'microscope']","['tiny', 'beauty', 'make', 'scientific', 'art', 'behind', 'microscope']","['tini', 'beauti', 'make', 'scientif', 'art', 'behind', 'microscop']","['tiny', 'beauty', 'make', 'scientific', 'art', 'behind', 'microscope']"
Comment,Extending the Sustainable Development Goals to 2050 — a road map,"The world should redouble its efforts on the SDGs, not abandon them. Here’s how to progress the United Nations’ agenda towards 2050.","Francesco Fuso Nerini, Mariana Mazzucato, Jeffrey Sachs",17-Jun-24,extending the sustainable development goals to 2050  a road map,"['extending', 'the', 'sustainable', 'development', 'goals', 'to', '2050', 'a', 'road', 'map']","['extending', 'sustainable', 'development', 'goals', '2050', 'road', 'map']","['extend', 'sustain', 'develop', 'goal', '2050', 'road', 'map']","['extending', 'sustainable', 'development', 'goal', '2050', 'road', 'map']"
Research Highlight,An object in space is emitting microwaves — and baffling scientists,"Data recorded at an observatory in Chile do not fit with a black hole, a supernova, a pair of merging stars or anything else.","N, /, A",14-Jun-24,an object in space is emitting microwaves  and baffling scientists,"['an', 'object', 'in', 'space', 'is', 'emitting', 'microwaves', 'and', 'baffling', 'scientists']","['object', 'space', 'emitting', 'microwaves', 'baffling', 'scientists']","['object', 'space', 'emit', 'microwav', 'baffl', 'scientist']","['object', 'space', 'emitting', 'microwave', 'baffling', 'scientist']"
Career Q&A,My pivot from grain scientist to slave-trade historian,"Geoff Palmer, Scotland’s first Black professor, now applies scientific rigour to researching slavery.",Christine Ro,14-Jun-24,my pivot from grain scientist to slavetrade historian,"['my', 'pivot', 'from', 'grain', 'scientist', 'to', 'slavetrade', 'historian']","['pivot', 'grain', 'scientist', 'slavetrade', 'historian']","['pivot', 'grain', 'scientist', 'slavetrad', 'historian']","['pivot', 'grain', 'scientist', 'slavetrade', 'historian']"
Nature Briefing,Daily briefing: Huge study reveals no drop in productivity from hybrid working,"Some working from home helps keep workers happy, too. Plus, hints that rogue antibodies cause long COVID and AI-assisted VAR is coming to the Euros.",Flora Graham,14-Jun-24,daily briefing huge study reveals no drop in productivity from hybrid working,"['daily', 'briefing', 'huge', 'study', 'reveals', 'no', 'drop', 'in', 'productivity', 'from', 'hybrid', 'working']","['daily', 'briefing', 'huge', 'study', 'reveals', 'drop', 'productivity', 'hybrid', 'working']","['daili', 'brief', 'huge', 'studi', 'reveal', 'drop', 'product', 'hybrid', 'work']","['daily', 'briefing', 'huge', 'study', 'reveals', 'drop', 'productivity', 'hybrid', 'working']"
News,Wildfires are raging in Nepal — climate change isn’t the only culprit,"Fire predictions pushed to locals’ smartphones could save forests, and lives, say researchers.",Saugat Bolakhe,14-Jun-24,wildfires are raging in nepal  climate change is not the only culprit,"['wildfires', 'are', 'raging', 'in', 'nepal', 'climate', 'change', 'is', 'not', 'the', 'only', 'culprit']","['wildfires', 'raging', 'nepal', 'climate', 'change', 'culprit']","['wildfir', 'rage', 'nepal', 'climat', 'chang', 'culprit']","['wildfire', 'raging', 'nepal', 'climate', 'change', 'culprit']"
Career Feature,Securing your science: the researcher’s guide to financial management,"Lab money management is an important, yet overlooked, professional skill for researchers.",Andy Tay,14-Jun-24,securing your science the researchers guide to financial management,"['securing', 'your', 'science', 'the', 'researchers', 'guide', 'to', 'financial', 'management']","['securing', 'science', 'researchers', 'guide', 'financial', 'management']","['secur', 'scienc', 'research', 'guid', 'financi', 'manag']","['securing', 'science', 'researcher', 'guide', 'financial', 'management']"
News,Unease as US drug agency weighs its use of independent scientists,"After several controversial drug approvals, the US Food and Drug Administration is mulling over changes to its advisory panels, which include researchers and others.",Max Kozlov,14-Jun-24,unease as us drug agency weighs its use of independent scientists,"['unease', 'as', 'us', 'drug', 'agency', 'weighs', 'its', 'use', 'of', 'independent', 'scientists']","['unease', 'us', 'drug', 'agency', 'weighs', 'use', 'independent', 'scientists']","['uneas', 'us', 'drug', 'agenc', 'weigh', 'use', 'independ', 'scientist']","['unease', 'u', 'drug', 'agency', 'weighs', 'use', 'independent', 'scientist']"
Career Feature,It’s time to talk about menstruation and fieldwork,Cringing colleagues can be an occupational hazard when pre-trip discussions cover periods — others welcome frank conversations.,Cameron  Walker,14-Jun-24,it is time to talk about menstruation and fieldwork,"['it', 'is', 'time', 'to', 'talk', 'about', 'menstruation', 'and', 'fieldwork']","['time', 'talk', 'menstruation', 'fieldwork']","['time', 'talk', 'menstruat', 'fieldwork']","['time', 'talk', 'menstruation', 'fieldwork']"
News,How the ‘mind’s eye’ calls up visual memories from the brain,Different patterns of brain activity help to distinguish between images recalled from memory and the sight of physical objects.,Julian Nowogrodzki,14-Jun-24,how the minds eye calls up visual memories from the brain,"['how', 'the', 'minds', 'eye', 'calls', 'up', 'visual', 'memories', 'from', 'the', 'brain']","['minds', 'eye', 'calls', 'visual', 'memories', 'brain']","['mind', 'eye', 'call', 'visual', 'memori', 'brain']","['mind', 'eye', 'call', 'visual', 'memory', 'brain']"
Author Correction,Author Correction: Acceleration of radiative recombination for efficient perovskite LEDs,,"Mengmeng Li, Yingguo Yang, Jianpu Wang",13-Jun-24,author correction acceleration of radiative recombination for efficient perovskite leds,"['author', 'correction', 'acceleration', 'of', 'radiative', 'recombination', 'for', 'efficient', 'perovskite', 'leds']","['author', 'correction', 'acceleration', 'radiative', 'recombination', 'efficient', 'perovskite', 'leds']","['author', 'correct', 'acceler', 'radi', 'recombin', 'effici', 'perovskit', 'led']","['author', 'correction', 'acceleration', 'radiative', 'recombination', 'efficient', 'perovskite', 'led']"
News Q&A,AI and Euro 2024: VAR is shaking up football — and it’s not going away,Sports physicist Eric Goff explains how updates to the technology can help referees to make the toughest calls.,Sumeet Kulkarni,13-Jun-24,ai and euro 2024 var is shaking up football  and it is not going away,"['ai', 'and', 'euro', '2024', 'var', 'is', 'shaking', 'up', 'football', 'and', 'it', 'is', 'not', 'going', 'away']","['ai', 'euro', '2024', 'var', 'shaking', 'football', 'going', 'away']","['ai', 'euro', '2024', 'var', 'shake', 'footbal', 'go', 'away']","['ai', 'euro', '2024', 'var', 'shaking', 'football', 'going', 'away']"
News,What causes long COVID? Case builds for rogue antibodies,Study finds that antibodies from people with the debilitating condition trigger similar symptoms in mice.,Carissa Wong,13-Jun-24,what causes long covid case builds for rogue antibodies,"['what', 'causes', 'long', 'covid', 'case', 'builds', 'for', 'rogue', 'antibodies']","['causes', 'long', 'covid', 'case', 'builds', 'rogue', 'antibodies']","['caus', 'long', 'covid', 'case', 'build', 'rogu', 'antibodi']","['cause', 'long', 'covid', 'case', 'build', 'rogue', 'antibody']"
Career Feature,Twelve scientist-endorsed tips to get over writer’s block,"How do you get your creative juices flowing after spending hours, days or months looking at a blank screen? Researchers share their advice.",Emily Sohn,13-Jun-24,twelve scientistendorsed tips to get over writers block,"['twelve', 'scientistendorsed', 'tips', 'to', 'get', 'over', 'writers', 'block']","['twelve', 'scientistendorsed', 'tips', 'get', 'writers', 'block']","['twelv', 'scientistendors', 'tip', 'get', 'writer', 'block']","['twelve', 'scientistendorsed', 'tip', 'get', 'writer', 'block']"
Nature Index,Three ways to recognize hidden labour in research,"From designing studies and translating science to technical services, the work of support staff is highly diverse — and it needs merit systems to match.",Linda Nordling,13-Jun-24,three ways to recognize hidden labour in research,"['three', 'ways', 'to', 'recognize', 'hidden', 'labour', 'in', 'research']","['three', 'ways', 'recognize', 'hidden', 'labour', 'research']","['three', 'way', 'recogn', 'hidden', 'labour', 'research']","['three', 'way', 'recognize', 'hidden', 'labour', 'research']"
News,Cyberattacks are hitting research institutions — with devastating effects,"Hackers are targeting universities and research institutes with ransomware, leaving staff and students without the ability to work.",Diana Kwon,13-Jun-24,cyberattacks are hitting research institutions  with devastating effects,"['cyberattacks', 'are', 'hitting', 'research', 'institutions', 'with', 'devastating', 'effects']","['cyberattacks', 'hitting', 'research', 'institutions', 'devastating', 'effects']","['cyberattack', 'hit', 'research', 'institut', 'devast', 'effect']","['cyberattacks', 'hitting', 'research', 'institution', 'devastating', 'effect']"
Nature Briefing,Daily briefing: How COVID-vaccine technology could personalize cancer treatments,"The same mRNA technology that underpins pioneering COVID-19 vaccines could train the immune system to attack cancer cells. Plus, why poor sleep disrupts memory and how ancient DNA from Maya ruins tells the story of ritual human sacrifices.",Flora Graham,13-Jun-24,daily briefing how covidvaccine technology could personalize cancer treatments,"['daily', 'briefing', 'how', 'covidvaccine', 'technology', 'could', 'personalize', 'cancer', 'treatments']","['daily', 'briefing', 'covidvaccine', 'technology', 'could', 'personalize', 'cancer', 'treatments']","['daili', 'brief', 'covidvaccin', 'technolog', 'could', 'person', 'cancer', 'treatment']","['daily', 'briefing', 'covidvaccine', 'technology', 'could', 'personalize', 'cancer', 'treatment']"
Article,A Multimodal Generative AI Copilot for Human Pathology,,"Ming Y. Lu, Bowen Chen, Faisal Mahmood",12-Jun-24,a multimodal generative ai copilot for human pathology,"['a', 'multimodal', 'generative', 'ai', 'copilot', 'for', 'human', 'pathology']","['multimodal', 'generative', 'ai', 'copilot', 'human', 'pathology']","['multimod', 'gener', 'ai', 'copilot', 'human', 'patholog']","['multimodal', 'generative', 'ai', 'copilot', 'human', 'pathology']"
